Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
PenFed Credit Union,2200,http://www.penfed.org,http://www.linkedin.com/company/penfed,622f85e42155c40116e50df7
PENNYMAC,4800,http://www.pennymac.com,http://www.linkedin.com/company/pennymac,623f4e4de7308b0001affba0
PENNYMAC,4800,http://www.pennymac.com,http://www.linkedin.com/company/pennymac,623f4e4de7308b0001affb9f
Perficient,3800,http://www.perficient.com,http://www.linkedin.com/company/perficient,620176553e1b060001a1fc2c
Periscope Holdings,97,http://www.periscopeholdings.com,http://www.linkedin.com/company/periscope-holdings,623f4e4de7308b0001affba1
Philips,89000,http://www.philips.com,http://www.linkedin.com/company/philips,623f4e4de7308b0001affba2
Phyton Talent Advisors,75,http://www.phytontalent.com,http://www.linkedin.com/company/phytontalent,6230d2845dc6a70001ba4228
"Pinnacle Group, Inc.",810,http://www.pinnacle1.com,http://www.linkedin.com/company/pinnacle-technical-resources,620176553e1b060001a1fc33
Planet Pharma,770,http://www.planet-pharma.com,http://www.linkedin.com/company/planet-pharma,622f8e0e0aa8590001097e89
Planet Technology,8,http://www.planet.com.tw,http://www.linkedin.com/company/planet-technology-hq,622234fa11146f000118e452
PLS Logistics Services,650,http://www.plslogistics.com,http://www.linkedin.com/company/pls-logistics-services,6220ffabc86ebf0001db5839
Project Management Institute,3800,http://www.pmi.org,http://www.linkedin.com/company/projectmanagementinstitute,620176553e1b060001a1fc3f
Professional Diversity Network,65,http://www.prodivnet.com,http://www.linkedin.com/company/prodivnet,622234fa11146f000118e46a
Prudential Financial,27000,http://www.prudential.com,http://www.linkedin.com/company/prudential-financial,6220ec770bd2a5000132c142
Publicis,87,http://www.publicis.com,http://www.linkedin.com/company/publicis-worldwide,6230d2845dc6a70001ba422a
RAPS Consulting Inc,5,http://www.rci-usa.com,http://www.linkedin.com/company/raps-consulting-inc.,623f4e4de7308b0001affba5
"RealPage, Inc.",6800,http://www.realpage.com,http://www.linkedin.com/company/realpage,623e722ca3924800f99c2a17
Red Hat,20000,http://www.redhat.com,http://www.linkedin.com/company/red-hat,623f4e4de7308b0001affba6
Resiliency LLC,3,http://www.resiliency.us,http://www.linkedin.com/company/resiliency-llc,623f4e4de7308b0001affba7
Resolve Tech Solutions,110,http://www.resolvetech.com,http://www.linkedin.com/company/resolve-tech-solutions,620176553e1b060001a1fc5b
Resource Innovations,350,http://www.resource-innovations.com,http://www.linkedin.com/company/nexant,623f4e4de7308b0001affba8
RetailMeNot,280,http://www.retailmenot.com,http://www.linkedin.com/company/retail-me-not,623f4e4de7308b0001affba9
Reyes Beer Division,580,http://www.reyesbeerdivision.com,http://www.linkedin.com/company/reyes-beer-division,623f4e4de7308b0001affbaa
"RIT Solutions, Inc.",76,http://www.ritsolinc.com,http://www.linkedin.com/company/rit-solutions-inc,620176553e1b060001a1fc62
Republic National Distributing Company,6500,http://www.rndc-usa.com,http://www.linkedin.com/company/republic-national-distributing-company,6205526548cf3b0001a2e12a
Robert Half Technology,300,http://www.roberthalf.ca,http://www.linkedin.com/company/fraser-studios,623e7144e65d90008df0235f
Robert Half,36000,http://www.roberthalf.com,http://www.linkedin.com/company/robert-half-international,620176553e1b060001a1fc67
